OverAllReliabilityScore,AvgSuccessRateOnSimilarTasks,AvgSubmissionQualityOnSimilarTasks,TasCompletionTime(Days),TaskTotalPrize,numberOfCurrentlyRegisteredButNotYetSubmittedTasks,numberOfRegisteredTasksInLastXDays,numberOfSubmittedTasksInLastXDays,numberOfWonTasksInLastXDays,averagePriceOfRegisteredTasksInLastXDays,AverageofCurrentlyRegisteredButNotYetSubmittedTasksForTopYCompetitiors,AverageNumberOfRegisteredTasksForTopYCompetitiorsInLastXDays,AverageNumberOfSubmittedTasksForTopYCompetitiorsInLastXDays,AverageNumberOfWonTasksForTopYCompetitiorsInLastXDays,AverageofAverageTotalPrizeForTopYCompetitiorsInLastXDays,AverageofAverageSubmissionQualityForTopYCompetitiors,AverageofAverageSucessRateForTopYCompetitiors,WinRate,PlacementInCompetitions,MinimumSubmissionQuality,AverageSubmissionQuality,MaximumSubmissionQuality,AverageSubmissionQualityInSameChallengeTypeTopYCompetitiors,PlacementInSameChallengeTypeTopYCompetitiors,KnownAndRequiredTechnologyRatioConsideringLastXMonths,NumberOfUnexploredTechnolgiesConsideringLastXMonths,WinnerOrNon-Winner
0.5,1,100,30.00347222,40,0,2,1,1,125,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,0,30.00347222,100,0,1,1,1,200,0,1,1,1,100,100,1,1,100,0,0,0,100,1,1,0,Winner
0.923076923,0.923076923,100,30.00347222,150,0,13,12,12,190.7692308,0,6,3,3,221.3636364,66.66666667,0.311688312,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00347222,200,0,1,1,1,150,0,4,1,1,202.5,50,0.5,1,1,100,100,100,100,1,1,0,Winner
0.928571429,0.928571429,100,30.00347222,150,0,14,13,13,187.8571429,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0.5,100,30.00347222,100,0,2,1,1,100,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.933333333,0.933333333,100,30.00347222,50,0,15,14,14,185.3333333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.352941176,0.352941176,100,30.00347222,100,0,17,6,6,237.9411765,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.35,0.35,100,30.00416667,300,0,20,7,7,221.25,0,8,4,4,128.125,100,0.5,1,1,100,100,100,100,1,1,0,Winner
0.9375,0.9375,100,30.00347222,150,0,16,15,15,176.875,0,4,2,2,215,50,0.333333333,1,1,100,100,100,100,1,1,0,Winner
0.941176471,0.941176471,100,30.00347222,250,0,17,16,16,175.2941176,0,2,1,1,350,100,0.5,1,1,100,100,100,100,1,1,0,Winner
0.944444444,0.944444444,100,30.00347222,40,0,18,17,17,179.4444444,0,17,7,7,241.4705882,100,0.411764706,1,1,100,100,100,100,1,1,0,Winner
0.5,0.5,100,30.00347222,75,0,2,1,1,162.5,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.666666667,0.666666667,100,30.00347222,500,0,3,2,2,133.3333333,0,10,10,10,138,100,1,1,1,100,100,100,100,1,1,0,Winner
0.75,0.75,100,30.00347222,80,0,4,3,3,225,0,6,1,1,325,100,0.166666667,1,1,100,100,100,100,1,1,0,Winner
0.947368421,0.947368421,100,30.00347222,400,0,19,18,18,172.1052632,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0.5,100,30.00486111,100,0,2,1,1,225,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.666666667,1,100,30.00347222,70,0,3,2,2,96.66666667,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,75,0,1,1,1,75,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,75,0,2,2,2,75,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.75,0.75,100,30.00347222,75,0,4,3,3,81.25,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.8,0,Winner
0.333333333,0.333333333,100,30.00416667,250,0,3,1,1,416.6666667,0,1,1,1,197.5,100,1,1,1,100,100,100,100,1,1,0,Winner
0.5,0.5,100,30.00347222,200,0,2,1,1,100,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.5,0,Winner
0,0,0,30.00347222,125,0,1,0,0,250,0,2,1,1,102.5,100,0.5,0,100,0,0,0,100,1,0,0,Non-Winner
0.75,1,100,30.00347222,60,0,4,3,3,90,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.8,1,100,30.00347222,100,0,5,4,4,84,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.666666667,0.666666667,100,30.00347222,50,0,3,2,2,183.3333333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00416667,250,0,1,1,1,40,0,4,2,2,375,100,0.5,1,1,100,100,100,100,1,0,2,Winner
0.75,0.75,100,30.00347222,80,0,4,3,3,150,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.833333333,0.833333333,100,30.00347222,100,0,6,5,5,126.6666667,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.833333333,0.833333333,100,30.00347222,80,0,6,5,5,130,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.9,0.9,100,30.00347222,80,0,10,9,9,140,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.9,0.9,100,30.00347222,450,0,10,9,9,103,0,2,1,1,125,0,0,1,1,100,100,100,100,1,1,0,Winner
0.9,0.9,100,30.00347222,40,0,10,9,9,144,0,4,1,1,100,0,0,1,1,100,100,100,100,1,1,0,Winner
0.9,0.9,100,30.00347222,50,0,10,9,9,143,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.916666667,0.916666667,100,30.00347222,75,0,12,11,11,129.5833333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.916666667,0.916666667,100,30.00347222,75,0,12,11,11,129.5833333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.95,0.95,100,30.00347222,200,0,20,19,19,183.5,0,17,7,7,232.0588235,100,0.411764706,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00416667,600,0,1,1,1,100,0,2,1,0,50.5,0,0,1,1,100,100,100,0,0,1,0,Winner
0.666666667,0.666666667,100,30.00416667,50,0,3,2,2,133.3333333,0,11,1,1,90.90909091,100,0.090909091,1,1,100,100,100,100,1,0.8,2,Winner
1,1,100,30.00416667,400,0,2,2,2,175,0,14,1,1,163.2142857,0,0,1,1,100,100,100,100,1,1,0,Winner
0.952380952,0.952380952,100,30.00347222,300,0,21,20,20,184.2857143,0,8,4,4,176.25,100,0.5,1,1,100,100,100,100,1,1,0,Winner
0,0,0,30.00347222,150,0,52,0,0,183.75,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,Non-Winner
0.333333333,0.333333333,100,30.00416667,100,0,6,2,2,196.6666667,0,1,1,1,80,100,1,1,1,100,100,100,100,1,0,0,Winner
0.333333333,0.333333333,100,30.00416667,80,0,3,1,1,196.6666667,0,10,4,4,175.75,66.66666667,0.434920635,1,1,100,100,100,66.66666667,1,1,0,Winner
0.428571429,0.5,100,30.00416667,150,0,7,3,3,182.8571429,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.333333333,0,Winner
0,0,0,30.00416667,200,0,2,0,0,225,0,6,1,1,102.0833333,100,0.361111111,0,100,0,0,0,100,1,0,0,Non-Winner
0.666666667,0.666666667,100,30.00416667,200,0,3,2,2,100,0,8,1,1,103.125,100,0.208333333,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00347222,100,0,3,3,3,250,0,3,1,1,233.3333333,100,0.333333333,1,1,100,100,100,100,1,1,0,Winner
0.954545455,0.954545455,100,30.00347222,100,0,22,21,21,189.5454545,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.333333333,0.5,0,30.00416667,100,0,3,1,1,383.3333333,0,3,2,2,300,50,0.416666667,1,100,0,0,0,100,1,1,0,Winner
0.923076923,0.923076923,100,30.00347222,50,0,13,12,12,125.3846154,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.928571429,0.928571429,100,30.00347222,50,0,14,13,13,120,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.933333333,0.933333333,100,30.00347222,60,0,15,14,14,115.3333333,0,5,3,3,87.33333333,50,0.5,1,1,100,100,100,100,1,1,0,Winner
0,0.75,100,23.00138889,1,0,5,3,3,150,0,9,1,1,399.8021978,37.952,0.015384615,0,100,0,0,0,0,0,0.866666667,0,Winner
0,0,0,30.00416667,200,0,0,0,0,0,0,3,1,1,206.25,50,0.5,0,100,0,0,0,100,1,0,2,Non-Winner
0,0,0,23.00138889,1,0,0,0,0,0,0,9,2,2,129.8021978,40,0.165384615,0,100,0,0,0,0,0,0,5,Non-Winner
0.956521739,0.956521739,100,30.00347222,250,0,23,22,22,185.6521739,0,17,7,7,229.1176471,100,0.411764706,1,1,100,100,100,100,1,1,0,Winner
0.9375,0.9375,100,30.00347222,150,0,16,15,15,111.875,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,100,30.00347222,200,0,1,1,1,150,0,3,1,1,166.6666667,50,0.5,1,1,100,100,100,100,1,0.5,1,Winner
0.5,0.5,100,30.00347222,50,0,8,4,4,178.75,0,6,1,1,120.8333333,100,0.2,1,1,100,100,100,100,1,0.25,0,Winner
1,1,100,30.00347222,100,0,4,4,4,212.5,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0.666666667,100,30.00416667,100,0,4,2,2,312.5,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.958333333,0.958333333,100,30.00416667,100,0,24,23,23,188.3333333,0,21,8,8,225,100,0.380952381,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00416667,75,0,1,1,1,125,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,1,0,30.00416667,50,0,2,1,1,75,0,0,0,0,0,0,0,1,100,0,0,0,0,0,1,0,Winner
1,1,100,30.00416667,200,0,1,1,1,300,0,2,1,1,100,100,1,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00347222,150,0,5,5,5,190,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.941176471,0.941176471,100,30.00416667,100,0,17,16,16,114.1176471,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.944444444,0.944444444,100,30.00416667,100,0,18,17,17,113.3333333,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.5,0,0,30.00416667,50,0,2,1,1,150,0,9,3,3,153.8482456,20,0.2,1,1,100,100,100,100,1,0.333333333,2,Non-Winner
1,1,100,30.00347222,100,0,7,7,7,171.4285714,0,2,2,2,130,100,1,1,1,100,100,100,100,1,1,0,Winner
1,1,100,30.00347222,100,0,7,7,7,171.4285714,0,20,2,2,162.25,0,0,1,1,100,100,100,100,1,1,0,Winner
0.25,0.25,100,30.00347222,100,0,4,1,1,98.75,0,11,7,7,220.4183333,80,0.567,1,1,100,100,100,100,1,1,0,Winner
0.923076923,0.923076923,100,30.00416667,150,0,26,24,24,181.5384615,0,9,3,3,203.1354167,75,0.277083333,1,1,100,100,100,100,1,1,0,Winner
0.6,0.75,100,30.00347222,100,0,5,3,3,270,0,5,2,2,237.1153846,50,0.25,1,1,100,100,100,100,1,1,0,Winner
0.363636364,0.363636364,100,30.00347222,600,0,22,8,8,219.3181818,0,19,18,18,112.6315789,100,0.947368421,1,1,100,100,100,100,1,1,0,Winner
0.666666667,0.8,100,30.00416667,100,0,6,4,4,241.6666667,0,5,1,1,161.5,50,0.2,1,1,100,100,100,100,1,1,0,Winner
0.25,0.333333333,100,30.00347222,50,0,4,1,1,200,0,2,1,1,83.33333333,100,0.75,1,1,100,100,100,100,1,0.666666667,0,Winner
0,0.4,100,5.500694444,2700,0,5,2,2,350,0,3,1,1,800,0,0,0,100,0,0,0,33.33333333,1,0.5,1,Winner
0,0,0,30.00347222,100,0,2,0,0,100,0,11,7,7,155.1683333,80,0.517,0,100,0,0,0,100,1,0,1,Non-Winner
1,1,100,30.00347222,75,0,8,8,8,162.5,0,10,1,1,421.3492063,33.33333333,0.111111111,1,1,100,100,100,100,1,1,0,Winner
0.4,1,100,5.004166667,400,0,5,2,2,170,0,2,1,1,67.16666667,40,0.5,1,1,100,100,100,50,1,0.333333333,3,Non-Winner
0.636363636,0.833333333,100,30.00416667,150,0,11,7,7,114.0909091,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.714285714,0,Winner
0,0,0,7.001388889,1800,0,5,0,0,400.2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,Non-Winner
0.8,0.8,100,30.00347222,50,0,5,4,4,80,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.8125,0,Winner
0,0,0,5.500694444,2700,0,0,0,0,0,0,3,1,1,687.5,25,0.1,0,100,0,0,0,25,1,0,2,Non-Winner
0,0.833333333,100,5.000694444,1500,0,6,5,5,75,0,4,1,1,1109.841667,72.824,0.5,0,100,0,0,0,38.824,1.5,0.85,0,Winner
1,0.857142857,99.13166667,4.000694444,900,0,7,6,6,278.5714286,0,8,2,2,829.1666667,50,0.25,1,2,94.79,94.79,94.79,0,0,0.875,0,Winner
1,0.888888889,97.36625,5.001388889,1800,0,9,8,8,400,0,5,1,1,924.1787879,67.125,0.375,1,1.333333333,86.93,92.97666667,97.21,24.625,1,0.892857143,0,Non-Winner
1,0.777777778,97.5325,3.000694444,750,0,9,8,7,516.6666667,0,9,2,2,620.0586821,33.33333333,0.142857143,0.666666667,2.333333333,88.26,93.42,97.21,0,0,0.714285714,0,Winner
1,1,98.5,5.001388889,1800,0,1,1,1,1500,0,7,3,3,649.1787879,66.8415625,0.347222222,1,1,98.5,98.5,98.5,23.24416667,1.333333333,0,4,Winner
1,1,97.58,5.000694444,1500,0,1,1,1,1800,0,5,2,2,764.8416667,73.308,0.466666667,1,1,97.58,97.58,97.58,19.308,2,0,4,Winner
0,0,0,5.001388889,1800,0,0,0,0,0,0,6,3,2,819.3430303,73.17325,0.477777778,0,100,0,0,0,38.29533333,1.166666667,0,4,Non-Winner
0,0,0,5.000694444,1500,0,0,0,0,0,0,4,2,2,1007.291667,78.824,0.666666667,0,100,0,0,0,38.824,1.5,0,4,Non-Winner
0,0,0,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,Non-Winner
0,0,70,5.001388889,1800,0,5,1,0,770.2,0,6,3,3,831.6287879,73.9665625,0.597222222,0,100,0,0,0,47.86916667,1.166666667,0,0,Non-Winner
0.925925926,0.925925926,100,30.00416667,65,0,27,25,25,180.3703704,0,10,3,3,486.3461538,33.33333333,0.111111111,1,1,100,100,100,100,1,1,0,Winner
0.666666667,0.5,100,30.00416667,50,0,12,8,8,117.0833333,0,7,2,2,400,100,0.333333333,1,1,100,100,100,100,1,0.03125,3,Winner
0.642857143,0.5,100,30.00416667,50,0,14,9,9,107.5,0,8,2,2,356.25,100,0.25,1,1,100,100,100,100,1,0.138888889,0,Winner
1,1,100,30.00347222,75,0,9,9,9,152.7777778,0,4,1,1,1812.5,0,0,1,1,100,100,100,0,0,1,0,Winner
1,1,96.4,7.170138889,1800,0,1,1,1,1650,0,2,1,1,960.4166667,0,0,1,1,96.4,96.4,96.4,46.3825,1.5,0.5,2,Winner
1,0,93.72,5.000694444,1500,0,1,1,0,1800,0,6,3,3,728.3333333,32.11814815,0.266666667,0,3,93.72,93.72,93.72,60.2625,1.5,0,0,Non-Winner
0.666666667,0.5,100,30.00347222,75,0,3,2,2,120,0,50,1,1,174.1666667,0,0,1,1,100,100,100,100,1,0.5,0,Winner
1,0.8,96.35444444,5.000694444,1500,0,10,9,8,540,0,3,1,0,1148.333333,31.24,0,0.75,2,86.93,91.7975,97.21,60.90333333,2,0.9375,0,Winner
0.666666667,0.857142857,100,30.00416667,40,0,15,10,10,103.6666667,0,29,19,19,108.7931034,100,0.655172414,1,1,100,100,100,100,1,0.6,0,Winner
0,0,0,30.00416667,50,0,130,0,0,260.8923077,0,9,5,5,258.5416667,100,0.416666667,0,100,0,0,0,100,1,0,0,Non-Winner
0,1,100,5,600,0,1,1,1,200,0,7,1,1,222.6136364,25,0.25,0,100,0,0,0,0,0,0.75,1,Winner
0.782608696,0.782608696,100,30.00347222,40,0,23,18,18,124.3478261,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.419354839,0.419354839,100,30.00347222,400,0,31,13,13,226.6129032,0,55,1,1,309.1990132,50,0.007936508,1,1,100,100,100,100,1,1,0,Winner
0.419354839,0.419354839,100,30.00347222,150,0,31,13,13,234.6774194,0,40,2,2,244.4542484,66.66666667,0.088164251,1,1,100,100,100,100,1,1,0,Winner
0.419354839,0.419354839,100,30.00416667,150,0,31,13,13,234.6774194,0,54,1,1,228.0147059,100,0.173913043,1,1,100,100,100,100,1,1,0,Winner
0.419354839,0.419354839,100,30.00416667,400,0,31,13,13,226.6129032,0,39,1,1,161.0102708,66.66666667,0.071497585,1,1,100,100,100,100,1,1,0,Winner
0.419354839,0.419354839,100,30.00416667,100,0,31,13,13,236.2903226,0,102,1,1,198.1862745,100,0.014492754,1,1,100,100,100,100,1,1,0,Winner
0.432432432,0.432432432,100,30.00347222,100,0,37,16,16,216.8918919,0,53,1,1,205.3431373,50,0.007246377,1,1,100,100,100,100,1,1,0,Winner
0.432432432,0.432432432,100,30.00347222,75,0,37,16,16,217.5675676,0,104,1,1,197.7403846,100,0.014084507,1,1,100,100,100,100,1,1,0,Winner
0.432432432,0.432432432,100,30.00347222,75,0,37,16,16,217.5675676,0,57,1,1,167.6388889,50,0.006666667,1,1,100,100,100,100,1,1,0,Winner
0.5,0.5,86.25,4.999305556,900,0,3,1,1,950,0,2,1,1,1350,85,0.5,1,1,86.25,86.25,86.25,85,1,1,0,Winner
1,1,100,5.003472222,300,0,1,1,1,400,0,8,1,1,165.6904762,100,0.375,1,1,100,100,100,100,1,1,0,Winner
0.25,0.25,0,30.00347222,50,0,4,1,1,192.5,0,13,10,10,78.46153846,100,0.865384615,1,100,0,0,0,100,1,1,0,Winner
1,0.818181818,96.545,6.000694444,2250,0,11,10,9,627.2727273,0,10,2,2,780.9620202,0,0,0.8,1.8,86.93,93.09,98.26,16.522,2,0.518518519,2,Winner
0.333333333,0.333333333,85,5.001388889,450,0,4,1,1,1500,0,4,2,2,937.5,84.375,0.666666667,1,1,85,85,85,84.375,1,1,0,Winner
0.333333333,0.4,100,30.00416667,60,0,16,5,5,253.75,0,9,1,1,138.8833333,50,0.0625,1,1,100,100,100,100,1,0.4,0,Winner
0.090909091,0.142857143,100,30.00347222,40,0,23,2,2,174.7826087,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.5,0,Winner
0.130434783,0.25,100,30.00347222,50,0,24,3,3,169.1666667,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.666666667,0,Winner
0.75,0,0,30.00347222,80,0,8,3,3,681.25,0,41,1,1,211.1359649,66.66666667,0.666666667,1,1,100,100,100,100,1,0,1,Non-Winner
1,1,100,30.00347222,50,0,10,10,10,145,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.111111111,0.333333333,100,30.00347222,30,0,14,1,1,650.0714286,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.266666667,0.444444444,100,30.00347222,40,0,18,4,4,395.8888889,0,29,19,19,108.7931034,100,0.655172414,1,1,100,100,100,100,1,1,0,Winner
0.2,0.5,100,30.00347222,50,0,15,2,2,608.7333333,0,5,2,2,61,0,1,1,1,100,100,100,0,0,1,0,Winner
0,0.5,100,8.124305556,2500,0,5,1,1,1545,0,5,1,1,1215.255952,20,0.2,0,100,0,0,0,19.25,1,1,0,Winner
0,0,0,8.124305556,2500,0,0,0,0,0,0,5,1,1,1158.255952,40,0.3,0,100,0,0,0,19.25,1,0,2,Non-Winner
0,0,0,3,900,0,6,1,1,275,0,4,2,2,1239.333333,97.70666667,0.791666667,0,100,0,0,0,64.37333333,1.5,0.5,2,Non-Winner
0.4,0.5,99.59333333,30.00347222,500,0,6,3,3,741.6666667,0,5,2,2,913.3258929,99.955,0.625,1,1,100,100,100,75,1,0.833333333,0,Winner
1,1,98.04,3,900,0,2,2,2,1650,0,5,2,2,781,65.02666667,0.458333333,1,1,97.58,98.04,98.5,31.69333333,2,1,0,Winner
1,1,95.08,3,900,0,1,1,1,1500,0,6,2,2,831,66.01333333,0.458333333,1,2,95.08,95.08,95.08,32.68,1,1,0,Non-Winner
0.2,0.2,100,30.00347222,300,0,5,1,1,250,0,30,3,3,168.0328908,60,0.137892025,1,1,100,100,100,100,1,1,0,Winner
0.142857143,0.25,100,30.00347222,50,0,7,1,1,139.2857143,0,0,0,0,0,0,0,1,1,100,100,100,0,0,1,0,Winner
0.285714286,0.285714286,100,30.00347222,250,0,7,2,2,242.8571429,0,67,7,7,213.7546526,100,0.232848705,1,1,100,100,100,100,1,1,0,Winner
0,0,0,3.000694444,500,0,0,0,0,0,0,4,1,1,430.6894737,0,0,0,100,0,0,0,54,2,0,1,Non-Winner
0,0,0,5,1200,0,0,0,0,0,0,6,1,1,913.8888889,0,0,0,100,0,0,0,0,0,0,1,Non-Winner
0.4,0.4,0,30.00347222,40,0,5,2,2,164,0,23,19,19,124.3478261,100,0.826086957,1,100,0,0,0,100,1,1,0,Winner
0,0,0,3,900,0,10,1,1,1135,0,5,1,1,610.2083333,0,0,0,100,0,0,0,21.25,2,0,1,Non-Winner
0.333333333,1,100,30.00347222,80,0,4,1,1,117.75,0,42,2,2,398.9692982,33.33333333,0.333333333,1,1,100,100,100,100,1,1,0,Winner
0,1,100,5,600,0,2,1,1,350,0,7,1,1,185.1136364,25,0.25,0,100,0,0,0,0,0,0.75,1,Non-Winner
0.352941176,0.333333333,100,30.00347222,50,0,21,6,6,450.7619048,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.166666667,0,Winner
0.388888889,0.5,100,30.00347222,100,0,22,7,7,432.5454545,0,46,3,3,198.8842318,0,0,1,1,100,100,100,100,1,0.285714286,0,Winner
0.846153846,1,100,30.00347222,50,0,13,11,11,132.6923077,0,13,2,2,328.9230769,100,0.25,1,1,100,100,100,100,1,1,0,Winner
0.625,0.714285714,100,30.00416667,65,0,8,5,5,256.25,0,8,3,3,735.7226107,33.27333333,0.166666667,1,1,100,100,100,66.66666667,1,1,0,Winner
1,1,100,10.00347222,800,0,2,2,2,350,0,0,0,0,0,0,0,1,1,100,100,100,0,0,0.75,1,Winner
0,0,0,3,900,0,2,0,0,70,0,6,1,1,715.1666667,0,0,0,100,0,0,0,17,2,0,1,Non-Winner
0,0,0,3,900,0,2,1,1,45,0,7,1,1,882.7083333,0,0,0,100,0,0,0,21.25,2,0,1,Non-Winner
0,0,0,3,900,0,0,0,0,0,0,6,1,1,715.1666667,0,0,0,100,0,0,0,17,2,0,1,Non-Winner
1,0.5,99.82,5.002083333,2400,0,3,1,1,1088.333333,0,6,1,1,1136.083333,17.798,0.1,1,1,99.82,99.82,99.82,37.798,1,1,0,Winner
0,0,0,5,500,0,6,3,3,263.3333333,0,9,1,1,558.9340909,19,0.2,0,100,0,0,0,19,1,0,3,Non-Winner
