,TaskId,WorkerId,TaskRequiredTechnologies,RegistrationDate,HasSubmitted.,SubmissionDate,SubmissionStatus,ReviewScore,IsWinner.,Rating,Placement
104006,30056960,jonathanirvings,other,2017-03-25T07:32:00.000-04:00,Yes,2017-03-25T07:33:00.000-04:00,Active,100,Yes,0,1
104018,30056958,hariom_7,other,2017-03-25T08:47:00.000-04:00,Yes,2017-03-25T08:59:00.000-04:00,Active,0,Yes,0,
104021,30056957,hariom_7,other,2017-03-25T09:11:00.000-04:00,No,2017-03-25T09:35:00.000-04:00,Active,0,No,0,
104023,30056957,visumagic,other,2017-03-25T09:22:00.000-04:00,No,2017-03-27T04:30:00.000-04:00,Active,0,No,0,
104046,30056958,OB3LISK,other,2017-03-25T16:44:00.000-04:00,No,2017-03-25T19:27:00.000-04:00,Active,0,No,0,
104061,30056957,LeonardoCaesar,other,2017-03-26T02:35:00.000-04:00,No,2017-03-26T03:42:00.000-04:00,Active,0,No,0,
104068,30056959,stni,other,2017-03-26T11:15:00.000-04:00,Yes,2017-03-26T13:16:00.000-04:00,Active,0,Yes,0,
104072,30056957,omkar.omkar.135,other,2017-03-26T13:44:00.000-04:00,No,2017-03-26T14:11:00.000-04:00,Active,0,No,0,
104089,30056973,Standlove,maven,2017-03-27T21:55:00.000-04:00,Yes,2017-03-27T23:06:00.000-04:00,Active,100,Yes,0,1
104092,30056972,nauhil,html;javascript,2017-03-28T01:40:00.000-04:00,No,2017-03-28T07:29:00.000-04:00,,0,No,0,
104093,30056972,ngartin,html;javascript,2017-03-28T01:58:00.000-04:00,No,2017-03-29T22:07:00.000-04:00,,0,No,0,
104095,30056972,mohhasbias,html;javascript,2017-03-28T09:16:00.000-04:00,Yes,2017-03-30T05:45:00.000-04:00,Active,100,Yes,0,1
104096,30056972,Amar365,html;javascript,2017-03-29T05:43:00.000-04:00,No,2017-03-29T17:13:00.000-04:00,,0,No,0,
104097,30057001,iversonLv,reactjs,2017-03-29T09:07:00.000-04:00,No,,,0,No,0,
104098,30057001,wwxyxgy,reactjs,2017-03-29T09:12:00.000-04:00,No,,,0,No,0,
104099,30057002,wwxyxgy,c;c++,2017-03-29T09:12:00.000-04:00,No,,,0,No,0,
104100,30057001,ouyangki,reactjs,2017-03-29T09:14:00.000-04:00,Yes,,Active,92.5,Yes,0,1
104101,30057002,billsedison,c;c++,2017-03-29T09:19:00.000-04:00,Yes,,Active,95,Yes,0,1
104102,30057002,gjw99,c;c++,2017-03-29T09:28:00.000-04:00,No,,,0,No,0,
104103,30057002,Standlove,c;c++,2017-03-29T09:31:00.000-04:00,No,,,0,No,0,
104104,30057001,oa414,reactjs,2017-03-29T10:18:00.000-04:00,Yes,,Completed Without Win,91.25,No,0,4
104105,30057002,ljsf_cc,c;c++,2017-03-29T10:20:00.000-04:00,No,,,0,No,0,
104106,30057002,diogenesjcs,c;c++,2017-03-29T10:42:00.000-04:00,No,,,0,No,0,
104107,30057001,diogenesjcs,reactjs,2017-03-29T10:49:00.000-04:00,No,,,0,No,0,
104108,30057001,birdofpreyru,reactjs,2017-03-29T11:16:00.000-04:00,No,,,0,No,0,
104109,30057001,gautam1168,reactjs,2017-03-29T11:41:00.000-04:00,No,,,0,No,0,
104110,30057001,e06widu,reactjs,2017-03-29T12:23:00.000-04:00,No,,,0,No,0,
104111,30057002,MKuk,c;c++,2017-03-29T12:33:00.000-04:00,No,,,0,No,0,
104112,30057001,jfort,reactjs,2017-03-29T12:46:00.000-04:00,No,,,0,No,0,
104113,30057001,codingdrone,reactjs,2017-03-29T12:48:00.000-04:00,No,,,0,No,0,
104114,30057002,OB3LISK,c;c++,2017-03-29T12:55:00.000-04:00,No,,,0,No,0,
104115,30057002,adolia,c;c++,2017-03-29T13:27:00.000-04:00,No,,,0,No,0,
104116,30057002,gvir,c;c++,2017-03-29T13:50:00.000-04:00,No,,,0,No,0,
104117,30057000,AleaActaEst,reactjs,2017-03-29T14:15:00.000-04:00,No,,,0,No,0,
104118,30057000,jfort,reactjs,2017-03-29T14:25:00.000-04:00,No,,,0,No,0,
104119,30057000,birdofpreyru,reactjs,2017-03-29T14:25:00.000-04:00,No,,,0,No,0,
104120,30057000,sah2ed,reactjs,2017-03-29T14:45:00.000-04:00,No,,,0,No,0,
104121,30057001,ShindouHikaru,reactjs,2017-03-29T15:04:00.000-04:00,No,,,0,No,0,
104122,30057000,ShindouHikaru,reactjs,2017-03-29T15:04:00.000-04:00,No,,,0,No,0,
104123,30057002,Ksys,c;c++,2017-03-29T16:17:00.000-04:00,No,,,0,No,0,
104124,30057002,cjalmeida,c;c++,2017-03-29T16:25:00.000-04:00,Yes,,Completed Without Win,94.38,No,0,2
104125,30057002,amoxibos,c;c++,2017-03-29T18:38:00.000-04:00,No,,,0,No,0,
104126,30057000,Gando19850304,reactjs,2017-03-29T19:02:00.000-04:00,No,,,0,No,0,
104127,30057001,vvvpig,reactjs,2017-03-29T19:10:00.000-04:00,Yes,,Completed Without Win,91.25,No,0,3
104128,30057000,vvvpig,reactjs,2017-03-29T19:10:00.000-04:00,No,,,0,No,0,
104129,30057000,billsedison,reactjs,2017-03-29T19:16:00.000-04:00,No,,,0,No,0,
104130,30057001,penpo,reactjs,2017-03-29T19:25:00.000-04:00,No,,,0,No,0,
104131,30057002,penpo,c;c++,2017-03-29T19:25:00.000-04:00,No,,,0,No,0,
104132,30057000,penpo,reactjs,2017-03-29T19:26:00.000-04:00,No,,,0,No,0,
104133,30057001,j404,reactjs,2017-03-29T20:29:00.000-04:00,No,,,0,No,0,
104134,30057000,ouyangki,reactjs,2017-03-29T20:41:00.000-04:00,No,,,0,No,0,
104135,30057002,j404,c;c++,2017-03-29T21:06:00.000-04:00,No,,,0,No,0,
104136,30057001,stevenfrog,reactjs,2017-03-29T21:09:00.000-04:00,No,,,0,No,0,
104137,30057000,moulyg,reactjs,2017-03-29T21:39:00.000-04:00,No,,,0,No,0,
104138,30057000,freegod,reactjs,2017-03-29T21:44:00.000-04:00,No,,,0,No,0,
104139,30057000,oa414,reactjs,2017-03-29T23:17:00.000-04:00,Yes,,Active,82.5,Yes,0,1
104140,30057002,eugalt,c;c++,2017-03-30T00:04:00.000-04:00,No,,,0,No,0,
104141,30057001,cairi,reactjs,2017-03-30T01:22:00.000-04:00,No,,,0,No,0,
104142,30057000,gvir,reactjs,2017-03-30T01:35:00.000-04:00,No,,,0,No,0,
104143,30057001,whudhn,reactjs,2017-03-30T01:50:00.000-04:00,No,,,0,No,0,
104144,30057000,whudhn,reactjs,2017-03-30T01:50:00.000-04:00,No,,,0,No,0,
104145,30057001,Zeman1994,reactjs,2017-03-30T02:29:00.000-04:00,No,,,0,No,0,
104146,30057001,nauhil,reactjs,2017-03-30T03:15:00.000-04:00,No,,,0,No,0,
104147,30057001,mulish,reactjs,2017-03-30T03:24:00.000-04:00,No,,,0,No,0,
104148,30057002,mulish,c;c++,2017-03-30T03:24:00.000-04:00,No,,,0,No,0,
104149,30057000,mulish,reactjs,2017-03-30T03:24:00.000-04:00,No,,,0,No,0,
104150,30057000,codingdrone,reactjs,2017-03-30T03:33:00.000-04:00,No,,,0,No,0,
104151,30057000,veshu,reactjs,2017-03-30T04:51:00.000-04:00,No,,,0,No,0,
104152,30057000,Rushikesh.Deshp,reactjs,2017-03-30T04:53:00.000-04:00,No,,,0,No,0,
104153,30057000,e06widu,reactjs,2017-03-30T05:11:00.000-04:00,No,,,0,No,0,
104154,30057002,alfiya_Zi,c;c++,2017-03-30T05:12:00.000-04:00,No,,,0,No,0,
104155,30057001,alfiya_Zi,reactjs,2017-03-30T05:17:00.000-04:00,No,,,0,No,0,
104156,30057001,sea_123,reactjs,2017-03-30T05:30:00.000-04:00,No,,,0,No,0,
104157,30057001,squareo2,reactjs,2017-03-30T06:09:00.000-04:00,No,,,0,No,0,
104158,30057000,demo.b,reactjs,2017-03-30T06:46:00.000-04:00,No,,,0,No,0,
104159,30057000,rootxigua,reactjs,2017-03-30T07:06:00.000-04:00,No,,,0,No,0,
104160,30057001,talesforce,reactjs,2017-03-30T07:55:00.000-04:00,No,,,0,No,0,
104161,30057000,talesforce,reactjs,2017-03-30T07:55:00.000-04:00,No,,,0,No,0,
104162,30057002,Gando19850304,c;c++,2017-03-30T08:40:00.000-04:00,No,,,0,No,0,
104163,30057000,ecavalier313,reactjs,2017-03-30T09:41:00.000-04:00,No,,,0,No,0,
104164,30057000,blu3fox,reactjs,2017-03-30T10:40:00.000-04:00,No,,,0,No,0,
104165,30057001,blu3fox,reactjs,2017-03-30T10:41:00.000-04:00,No,,,0,No,0,
104166,30057002,blu3fox,c;c++,2017-03-30T10:41:00.000-04:00,No,,,0,No,0,
104167,30057000,phoenix103,reactjs,2017-03-30T10:46:00.000-04:00,No,,,0,No,0,
104168,30057038,oa414,ant;docker;java,2017-03-30T12:12:00.000-04:00,No,,,0,No,0,
104169,30057000,sea_123,reactjs,2017-03-30T12:23:00.000-04:00,No,,,0,No,0,
104170,30057038,codingdrone,ant;docker;java,2017-03-30T12:25:00.000-04:00,No,,,0,No,0,
104171,30057038,gvir,ant;docker;java,2017-03-30T12:26:00.000-04:00,No,,,0,No,1169,
104172,30057001,stevelvovo,reactjs,2017-03-30T12:39:00.000-04:00,No,,,0,No,0,
104173,30057002,stevelvovo,c;c++,2017-03-30T13:41:00.000-04:00,No,,,0,No,0,
104174,30057038,pfilippi,ant;docker;java,2017-03-30T13:58:00.000-04:00,No,,,0,No,1048,
104175,30057038,adolia,ant;docker;java,2017-03-30T14:04:00.000-04:00,No,,Failed Review,69.41,No,0,3
104176,30057038,phead,ant;docker;java,2017-03-30T14:29:00.000-04:00,No,,,0,No,514,
104177,30057002,wd28,c;c++,2017-03-30T15:31:00.000-04:00,No,,,0,No,0,
104178,30057001,shailesh41,reactjs,2017-03-30T15:58:00.000-04:00,Yes,,Completed Without Win,92.5,No,0,2
104179,30057000,cairi,reactjs,2017-03-30T17:43:00.000-04:00,No,,,0,No,0,
104180,30057038,blu3fox,ant;docker;java,2017-03-30T19:26:00.000-04:00,No,,,0,No,0,
104181,30057038,deedee,ant;docker;java,2017-03-30T19:32:00.000-04:00,Yes,,Completed Without Win,99.62,No,1041,2
104182,30057000,gjw99,reactjs,2017-03-30T19:40:00.000-04:00,No,,,0,No,0,
104183,30057001,wcheung,reactjs,2017-03-30T19:52:00.000-04:00,No,,,0,No,0,
104184,30057002,wcheung,c;c++,2017-03-30T19:53:00.000-04:00,No,,,0,No,0,
104185,30057000,wcheung,reactjs,2017-03-30T19:53:00.000-04:00,No,,,0,No,0,
104186,30057038,wcheung,ant;docker;java,2017-03-30T19:55:00.000-04:00,No,,,0,No,0,
104187,30057038,gjw99,ant;docker;java,2017-03-30T19:57:00.000-04:00,No,,,0,No,1051,
104188,30057038,Standlove,ant;docker;java,2017-03-30T20:01:00.000-04:00,Yes,,Active,100,Yes,1435,1
104189,30057002,cunhavictor,c;c++,2017-03-30T21:18:00.000-04:00,No,,,0,No,0,
104190,30057038,freegod,ant;docker;java,2017-03-30T21:43:00.000-04:00,No,,,0,No,988,
104191,30057001,ibun,reactjs,2017-03-30T21:44:00.000-04:00,No,,,0,No,0,
104192,30057038,mulish,ant;docker;java,2017-03-30T21:48:00.000-04:00,No,,,0,No,716,
104193,30057002,ghosar05,c;c++,2017-03-30T22:38:00.000-04:00,No,,,0,No,0,
104194,30057000,hadi.lu,reactjs,2017-03-30T22:53:00.000-04:00,No,,,0,No,0,
104195,30057038,hp87,ant;docker;java,2017-03-30T23:25:00.000-04:00,No,,,0,No,0,
104196,30057038,jayeshk26,ant;docker;java,2017-03-30T23:58:00.000-04:00,No,,,0,No,0,
104197,30057038,LynforeverSue,ant;docker;java,2017-03-31T00:26:00.000-04:00,No,,,0,No,0,
104198,30057002,LynforeverSue,c;c++,2017-03-31T00:33:00.000-04:00,No,,,0,No,0,
104199,30057000,LynforeverSue,reactjs,2017-03-31T00:33:00.000-04:00,No,,,0,No,0,
104200,30057001,LynforeverSue,reactjs,2017-03-31T00:34:00.000-04:00,No,,,0,No,0,
104201,30057038,j404,ant;docker;java,2017-03-31T00:49:00.000-04:00,No,,,0,No,0,
104202,30057038,nauhil,ant;docker;java,2017-03-31T00:50:00.000-04:00,No,,,0,No,0,
104203,30057002,nauhil,c;c++,2017-03-31T01:04:00.000-04:00,No,,,0,No,0,
104204,30057000,Rakesh.Sa,reactjs,2017-03-31T01:48:00.000-04:00,No,,,0,No,0,
104205,30057002,SpadeAce,c;c++,2017-03-31T05:05:00.000-04:00,No,,,0,No,0,
104206,30057038,sfaxiano,ant;docker;java,2017-03-31T05:54:00.000-04:00,No,,,0,No,0,
104207,30057001,tuxing,reactjs,2017-03-31T07:20:00.000-04:00,No,,,0,No,0,
104208,30057002,tuxing,c;c++,2017-03-31T07:20:00.000-04:00,No,,,0,No,0,
104209,30057000,tuxing,reactjs,2017-03-31T07:20:00.000-04:00,No,,,0,No,0,
104210,30057002,codercat,c;c++,2017-03-31T07:35:00.000-04:00,No,,,0,No,0,
104211,30057001,codercat,reactjs,2017-03-31T07:44:00.000-04:00,No,,,0,No,0,
104212,30057055,ouyangki,reactjs,2017-03-31T09:11:00.000-04:00,No,,,0,No,0,
104213,30057038,Bende,ant;docker;java,2017-03-31T09:12:00.000-04:00,No,,,0,No,0,
104214,30057055,freegod,reactjs,2017-03-31T09:19:00.000-04:00,No,,,0,No,0,
104215,30057055,iversonLv,reactjs,2017-03-31T09:27:00.000-04:00,No,,,0,No,0,
104216,30057055,gjw99,reactjs,2017-03-31T09:28:00.000-04:00,No,,,0,No,0,
104217,30057055,birdofpreyru,reactjs,2017-03-31T09:39:00.000-04:00,No,,,0,No,0,
104218,30057055,topcodder02,reactjs,2017-03-31T09:47:00.000-04:00,No,,,0,No,0,
104219,30057055,nauhil,reactjs,2017-03-31T10:32:00.000-04:00,No,,,0,No,0,
104220,30057038,tuxing,ant;docker;java,2017-03-31T10:37:00.000-04:00,No,,,0,No,1280,
104221,30057055,tuxing,reactjs,2017-03-31T10:37:00.000-04:00,No,,,0,No,0,
104222,30057055,oa414,reactjs,2017-03-31T10:40:00.000-04:00,Yes,,Active,85,Yes,0,1
